listing_id,location,property_type,rooms,bathrooms,car_parks,size_sqft,furnished,monthly_rent,date_listed,agent_rating
KV100687,Cyberjaya,Condominium,2.0,1.0,0.0,"1,140 sq. ft.",Partly Furnished,"RM 2,450",09/01/2026,3.5
KV100367,  Petaling Jaya ,Condominium,2.0,1.0,1.0,870 sq. ft.,Fully Furnished,"RM 2,550",2026-01-28,
KV100945,ampang,Condominium,2.0,1.0,0.0,"1,270 sq. ft.",Fully Furnished,"RM 4,000",10/07/2026,4.1
KV100880,Kajang,Apartment,4.0,4.0,3.0,980 sq. ft.,Partially Furnished,"RM 1,450",2025-04-11,3.8
KV100397,PETALING JAYA,Serviced Residence,4.0,3.0,,950 sq. ft.,Fully Furnished,"RM 3,450",2025-03-17,3.4
KV100110,Kajang,Serviced Residence,2.0,1.0,1.0,,Partly Furnished,"RM 1,950",2025-08-16,4.1
KV101135,  Puchong ,Serviced Residence,2.0,1.0,,940 sq. ft.,Partially Furnished,"RM 1,850",2026-07-28,4.3
KV100976,Cheras,Condominium,4.0,,3.0,"1,140 sq. ft.",Partially Furnished,"RM 2,500",2025-12-18,3.2
KV100063,Cheras,Apartment,4.0,3.0,2.0,820 sq. ft.,Not Furnished,"RM 1,450",09/09/2025,4.3
KV101087,Shah Alam  ,Apartment,3.0,3.0,0.0,"1,060 sq. ft.",Fully Furnished,RM 0,2025-10-16,4.2
KV100431,Petaling Jaya,Condominium,2.0,1.0,,830 sq. ft.,Partially Furnished,"RM 2,300",2025-12-06,3.8
KV100518,Bangsar  ,Serviced Residence,4.0,3.0,2.0,950 sq. ft.,fully furnished,"RM 4,300",2025-03-25,3.5
KV100046,Shah Alam,Condominium,2.0,1.0,1.0,"1,210 sq. ft.",Fully Furnished,"RM 3,600",2026-07-19,
KV101025,puchong,Apartment,3.0,3.0,0.0,920 sq. ft.,Partially Furnished,"RM 1,400",2026-05-11,
KV100389,  Puchong ,Terrace House,3.0,2.0,0.0,"1,370 sq. ft.",,"RM 2,150",2026-07-30,5.0
KV100205,Cyberjaya,Condominium,3.0,3.0,,"1,140 sq. ft.",Partially Furnished,"RM 2,250",2025-05-14,3.0
KV100812,Cyberjaya,Condominium,2.0,1.0,1.0,980 sq. ft.,Not Furnished,"RM 1,900",2025-10-22,4.1
KV100660,Subang Jaya,Apartment,4.0,3.0,2.0,840 sq. ft.,Partially Furnished,"RM 1,700",28/04/2026,7.0
KV100252,Setapak,Terrace House,5.0,4.0,,"1,300 sq. ft.",Fully Furnished,"RM 2,400",01/06/2025,4.7
KV100657,  Petaling Jaya ,Condominium,3.0,2.0,2.0,760 sq. ft.,Full Furnished,"RM 2,150",02/04/2026,4.4
KV100488,Cheras,Condominium,4.0,3.0,2.0,"1,440 sq. ft.",Partly Furnished,"RM 2,950",2026-03-14,
KV100801,Subang Jaya,Terrace House,5.0,4.0,3.0,"1,590 sq. ft.",Partially Furnished,"RM 2,650",30/07/2026,3.2
KV100791,  Puchong ,Serviced Residence,2.0,1.0,0.0,950 sq. ft.,Fully Furnished,"RM 2,300",2026-05-25,3.4
KV100641,ampang,Condominium,3.0,,0.0,"1,210 sq. ft.",Partially Furnished,"RM 4,200",2026-06-26,4.3
KV100590,Bangsar,Condominium,2.0,2.0,1.0,"1,390 sq. ft.",fully furnished,"RM 6,000",2026-06-06,4.3
KV100289,CYBERJAYA,Condominium,0.0,4.0,2.0,"1,220 sq. ft.",Fully Furnished,"RM 2,850",2026-04-11,3.9
KV100706,Subang Jaya,Condominium,3.0,,2.0,"1,510 sq. ft.",Fully Furnished,"RM 4,600",2025-06-21,4.3
KV100959,Bangsar,Studio,1.0,1.0,0.0,460 sq. ft.,Fully Furnished,"RM 2,200",2026-01-02,3.4
KV100839,Bangsar,Condominium,4.0,4.0,3.0,"1,160 sq. ft.",Fully Furnished,"RM 5,350",2026-07-30,4.0
KV100679,KLCC,Serviced Residence,3.0,2.0,2.0,810 sq. ft.,Fully Furnished,"RM 4,900",2025-04-25,4.4
KV100189,Subang Jaya,Apartment,4.0,3.0,2.0,830 sq. ft.,Fully Furnished,"RM 2,150",06/07/2025,4.4
KV100790,Kajang,Terrace House,5.0,5.0,2.0,"2,110 sq. ft.",Fully Furnished,"RM 39,116",2025-11-10,3.5
KV100204,Shah Alam,Condominium,3.0,2.0,,"1,260 sq. ft.",Not Furnished,"RM 2,500",13/06/2026,3.4
KV100172,Shah Alam,Condominium,4.0,3.0,2.0,"1,390 sq. ft.",Partially Furnished,"RM 3,200",2026-04-23,3.8
KV100060,bangsar,Condominium,4.0,3.0,1.0,910 sq. ft.,Fully Furnished,"RM 3,450",30/09/2025,4.3
KV100795,Puchong,Serviced Residence,2.0,1.0,1.0,"1,050 sq. ft.",FULLY FURNISHED,"RM 2,550",16/12/2025,4.3
KV100463,Cheras,Condominium,3.0,3.0,2.0,970 sq. ft.,Partially Furnished,"RM 1,650",2025-08-05,4.4
KV101041,Kajang,Serviced Residence,3.0,3.0,2.0,860 sq. ft.,Fully Furnished,"RM 1,750",19/08/2026,3.7
KV100146,Shah Alam,Terrace House,3.0,2.0,2.0,"1,690 sq. ft.",Partially Furnished,"RM 2,900",2026-07-25,4.6
KV100569,Bangsar  ,Terrace House,4.0,,2.0,"1,500 sq. ft.",Fully Furnished,"RM 5,300",2025-06-21,3.7
KV100594,  Puchong ,Condominium,3.0,3.0,2.0,"1,260 sq. ft.",Fully Furnished,"RM 3,150",28/03/2025,4.2
KV100782,Shah Alam,Condominium,2.0,1.0,,"1,340 sq. ft.",Partially Furnished,"RM 2,700",2025-09-26,4.7
KV100974,Cheras,Serviced Residence,3.0,3.0,,"1,250 sq. ft.",Not Furnished,"RM 2,750",2025-05-15,4.5
KV100597,Petaling Jaya,Condominium,4.0,4.0,,"1,540 sq. ft.",Partially Furnished,"RM 3,700",08/04/2025,3.9
KV101031,Ampang,Condominium,2.0,1.0,1.0,"1,100 sq. ft.",Unfurnished,"RM 2,950",2026-02-21,3.6
KV101050,Cheras,Condominium,3.0,2.0,2.0,"1,010 sq. ft.",NOT FURNISHED,"RM 1,800",17/08/2025,3.6
KV100540,Kajang,Condominium,4.0,3.0,2.0,"1,380 sq. ft.",Not Furnished,"RM 2,500",28/10/2025,5.0
KV100571,Ampang,Serviced Residence,3.0,3.0,0.0,770 sq. ft.,Partially Furnished,"RM 2,500",2025-05-05,
KV100688,Ampang,Serviced Residence,3.0,3.0,2.0,900 sq. ft.,Unfurnished,"RM 2,650",2025-11-25,4.6
KV101182,Mont Kiara,Condominium,4.0,,,"1,170 sq. ft.",Fully Furnished,"RM 5,600",22/06/2026,4.7
KV100305,Bangsar,Serviced Residence,4.0,,2.0,990 sq. ft.,NOT FURNISHED,"RM 3,450",2025-05-21,4.3
KV100009,Puchong,Studio,0.0,1.0,-0.0,420 sq. ft.,Partially Furnished,RM 950,28/06/2026,
KV100889,Mont Kiara,Serviced Residence,,,1.0,890 sq. ft.,Partially Furnished,"RM 4,550",2026-02-28,4.8
KV100053,Mont Kiara,Condominium,2.0,1.0,1.0,"1,210 sq. ft.",Fully Furnished,"RM 6,800",2026-05-31,4.4
KV100674,Shah Alam,Condominium,3.0,3.0,2.0,"1,180 sq. ft.",not furnished,"RM 2,500",2026-03-07,5.0
KV101052,KLCC,Studio,1.0,1.0,0.0,350 sq. ft.,Fully Furnished,"RM 2,150",2025-10-22,3.9
KV100420,Kajang,Apartment,3.0,3.0,2.0,960 sq. ft.,Partially Furnished,"RM 1,500",22/07/2026,4.0
KV101064,Setapak,Apartment,4.0,3.0,2.0,580 sq. ft.,Fully Furnished,"RM 1,100",2025-11-21,3.9
KV100361,Kajang,Condominium,4.0,3.0,1.0,670 sq. ft.,NOT FURNISHED,"RM 1,150",2026-04-18,3.7
KV100040,petaling jaya,Apartment,3.0,3.0,2.0,860 sq. ft.,FULLY FURNISHED,"RM 2,050",2025-05-23,3.5
KV100783,Mont Kiara,Condominium,3.0,3.0,0.0,"1,160 sq. ft.",Partially Furnished,"RM 5,150",18/06/2025,3.4
KV100875,subang jaya,Serviced Residence,4.0,3.0,1.0,990 sq. ft.,Full Furnished,"RM 3,250",2026-04-18,4.9
KV101198,Setapak,Condominium,4.0,,2.0,"1,250 sq. ft.",Fully Furnished,"RM 2,500",2026-03-23,5.0
KV100562,Kajang  ,Condominium,2.0,1.0,0.0,"1,290 sq. ft.",Partly Furnished,"RM 2,000",2025-07-15,4.3
KV100841,  Bangsar ,Condominium,2.0,1.0,,"1,290 sq. ft.",Fully Furnished,"RM 6,250",2025-08-13,4.2
KV100083,  Setapak ,Terrace House,4.0,3.0,2.0,"1,840 sq. ft.",Fully Furnished,"RM 3,450",2026-07-03,3.8
KV101077,Shah Alam,Apartment,3.0,2.0,2.0,"1,060 sq. ft.",Partially Furnished,"RM 2,250",01/03/2026,3.8
KV100644,Shah Alam,Apartment,2.0,1.0,,630 sq. ft.,Partially Furnished,"RM 1,450",2026-04-29,4.4
KV100943,  Bangsar ,Apartment,2.0,2.0,1.0,830 sq. ft.,,"RM 3,750",2025-06-27,3.1
KV100887,Puchong  ,Apartment,4.0,3.0,2.0,"1,010 sq. ft.",Full Furnished,"RM 2,000",2025-04-03,4.3
KV100098,Shah Alam,Condominium,3.0,2.0,,"1,280 sq. ft.",Partially Furnished,"RM 2,800",2025-11-15,2.9
KV100564,Shah Alam,Condominium,4.0,3.0,3.0,"1,220 sq. ft.",Fully Furnished,"RM 3,300",17/02/2026,3.1
KV101114,cyberjaya,Studio,1.0,1.0,-0.0,480 sq. ft.,fully furnished,"RM 1,500",2026-07-28,4.0
KV100396,Cheras,Serviced Residence,2.0,1.0,2.0,890 sq. ft.,Partially Furnished,"RM 1,700",16/03/2025,3.5
KV100888,CHERAS,Condominium,4.0,3.0,,"9,928 sq. ft.",Fully Furnished,"RM 3,150",20/07/2026,3.9
KV100981,Bangsar,Terrace House,3.0,3.0,2.0,"1,730 sq. ft.",Fully Furnished,"RM 5,300",05/12/2025,4.6
KV100663,Ampang,Apartment,3.0,,,790 sq. ft.,Fully Furnished,"RM 2,450",06/03/2026,4.1
KV100829,Setapak,Serviced Residence,4.0,4.0,2.0,990 sq. ft.,Fully Furnished,"RM 2,400",2026-05-16,5.0
KV100643,KLCC,Condominium,4.0,3.0,1.0,"1,040 sq. ft.",Partially Furnished,"RM 5,650",2026-05-07,4.4
KV100462,Cheras,Serviced Residence,4.0,3.0,,"1,270 sq. ft.",Fully Furnished,"RM 3,100",20/06/2026,4.2
KV100998,  Puchong ,Terrace House,3.0,3.0,2.0,"1,590 sq. ft.",Fully Furnished,"RM 2,700",2025-07-24,4.7
KV100739,Cyberjaya,Apartment,3.0,3.0,2.0,830 sq. ft.,Partially Furnished,"RM 1,900",2025-12-09,2.9
KV100640,Subang Jaya,Condominium,4.0,3.0,3.0,880 sq. ft.,Fully Furnished,"RM 2,250",2026-03-01,4.5
KV100054,Subang Jaya  ,Apartment,3.0,3.0,,850 sq. ft.,Not Furnished,"RM 1,400",05/06/2025,4.3
KV100982,KLCC,Studio,1.0,1.0,0.0,450 sq. ft.,FULLY FURNISHED,"RM 2,750",2026-02-16,4.1
KV100665,Cyberjaya,Condominium,4.0,3.0,3.0,"1,030 sq. ft.",Fully Furnished,"RM 3,000",2025-06-23,4.3
KV100493,Cyberjaya,Studio,1.0,1.0,2.0,490 sq. ft.,not furnished,"RM 1,150",2026-01-19,4.7
KV100326,Petaling Jaya,Condominium,3.0,3.0,2.0,"1,040 sq. ft.",Partially Furnished,"RM 2,650",2025-11-19,4.1
KV100151,Setapak,Terrace House,5.0,4.0,,"2,030 sq. ft.",Partly Furnished,"RM 2,900",2025-09-07,5.0
KV101177,Ampang,Apartment,3.0,,2.0,780 sq. ft.,Full Furnished,"RM 2,400",2025-05-31,4.0
KV100097,Setapak,Condominium,3.0,2.0,0.0,"1,260 sq. ft.",Full Furnished,"RM 2,500",2026-07-15,3.2
KV100270,Kajang,Terrace House,4.0,3.0,3.0,"1,980 sq. ft.",Fully Furnished,"RM 2,650",29/11/2025,
KV100199,Setapak,Condominium,4.0,4.0,1.0,720 sq. ft.,Partially Furnished,"RM 1,500",2025-03-31,3.5
KV100598,bangsar,Serviced Residence,3.0,2.0,2.0,900 sq. ft.,Fully Furnished,"RM 3,850",2026-04-02,3.7
KV100454,Cheras,Serviced Residence,4.0,3.0,2.0,"1,140 sq. ft.",Not Furnished,"RM 2,000",2025-10-11,3.7
KV100558,Cheras,Serviced Residence,2.0,,1.0,870 sq. ft.,Fully Furnished,"RM 2,100",24/01/2026,
KV100076,Setapak,Condominium,4.0,3.0,3.0,"1,110 sq. ft.",Partly Furnished,"RM 2,100",2025-03-30,4.7
KV100012,subang jaya,Apartment,2.0,,1.0,930 sq. ft.,partially furnished,"RM 2,050",09/04/2026,4.2
KV100280,Petaling Jaya,Serviced Residence,3.0,3.0,,870 sq. ft.,PARTIALLY FURNISHED,"RM 2,650",2026-05-24,3.6
KV100773,Ampang,Serviced Residence,4.0,4.0,,840 sq. ft.,Full Furnished,"RM 2,850",2025-08-29,3.2
KV100833,Bangsar,Studio,1.0,1.0,2.0,340 sq. ft.,fully furnished,"RM 1,500",2026-03-13,3.2
KV100977,Subang Jaya,Condominium,2.0,1.0,1.0,"1,070 sq. ft.",Partially Furnished,"RM 2,100",2026-05-21,3.5
KV100492,Ampang  ,Condominium,3.0,2.0,2.0,"1,060 sq. ft.",Full Furnished,"RM 4,050",01/04/2025,3.6
KV100013,Bangsar,Studio,1.0,1.0,0.0,470 sq. ft.,Not Furnished,"RM 1,900",2025-12-09,4.6
KV100631,Subang Jaya,Condominium,4.0,3.0,,"1,200 sq. ft.",PARTIALLY FURNISHED,"RM 2,800",2025-12-01,4.4
KV100563,Puchong,Condominium,99.0,3.0,2.0,900 sq. ft.,Partially Furnished,"RM 2,050",2025-05-22,4.5
KV100179,setapak,Condominium,3.0,3.0,2.0,"1,110 sq. ft.",Not Furnished,"RM 2,250",2025-06-22,3.8
KV100933,  Setapak ,Apartment,2.0,1.0,1.0,"1,000 sq. ft.",Fully Furnished,RM 0,17/01/2026,4.4
KV100020,Bangsar,Studio,1.0,1.0,-0.0,340 sq. ft.,Not Furnished,"RM 1,000",2025-12-05,3.2
KV100720,puchong,Condominium,3.0,3.0,2.0,"1,010 sq. ft.",Not Furnished,"RM 1,800",09/04/2026,4.1
KV100777,CYBERJAYA,Apartment,2.0,1.0,2.0,760 sq. ft.,Fully Furnished,"RM 75,250",21/04/2025,4.1
KV100385,Setapak,Apartment,,3.0,2.0,960 sq. ft.,Partially Furnished,"RM 1,700",2025-12-23,4.4
KV100901,Petaling Jaya,Serviced Residence,3.0,2.0,2.0,800 sq. ft.,PARTIALLY FURNISHED,"RM 2,150",2026-03-03,4.3
KV100744,Cheras,Condominium,2.0,1.0,2.0,970 sq. ft.,Fully Furnished,"RM 2,400",13/06/2025,4.1
KV100789,KLCC,Apartment,3.0,2.0,,900 sq. ft.,Fully Furnished,"RM 4,100",28/05/2025,4.5
KV100504,Bangsar,Condominium,2.0,1.0,1.0,"1,310 sq. ft.",,"RM 5,400",08/05/2026,4.2
KV100374,KLCC,Apartment,4.0,3.0,,"1,050 sq. ft.",Fully Furnished,"RM 5,200",2026-03-28,3.9
KV100546,Ampang,Serviced Residence,2.0,,0.0,"1,010 sq. ft.",Not Furnished,"RM 2,900",10/06/2025,4.3
KV101026,subang jaya,Condominium,3.0,3.0,,"1,070 sq. ft.",Not Furnished,"RM 2,400",23/03/2026,
KV100478,Mont Kiara,Condominium,3.0,2.0,2.0,"1,210 sq. ft.",partially furnished,"RM 4,200",2025-10-07,3.9
KV100017,SHAH ALAM,Condominium,2.0,1.0,,610 sq. ft.,Partially Furnished,"RM 1,300",2026-08-07,4.2
KV100585,Puchong,Condominium,2.0,2.0,,"1,330 sq. ft.",Fully Furnished,"RM 2,950",12/01/2026,3.8
KV100285,Mont Kiara,Condominium,3.0,3.0,0.0,"1,240 sq. ft.",Partly Furnished,"RM 4,600",20/01/2026,4.0
KV100757,Petaling Jaya,Terrace House,4.0,3.0,2.0,"1,660 sq. ft.",Fully Furnished,"RM 4,050",2025-11-03,5.0
KV100898,Kajang,Apartment,4.0,3.0,3.0,"1,010 sq. ft.",Partially Furnished,"RM 1,650",2026-06-07,3.7
KV100306,Petaling Jaya,Apartment,3.0,3.0,0.0,990 sq. ft.,Partially Furnished,"RM 2,400",10/07/2025,4.5
KV100115,KLCC,Condominium,2.0,1.0,2.0,"1,320 sq. ft.",Partially Furnished,"RM 6,000",2025-11-06,3.5
KV100948,Bangsar,Terrace House,99.0,3.0,1.0,"1,360 sq. ft.",fully furnished,"RM 5,100",18/08/2025,4.7
KV100284,Cheras,Apartment,3.0,3.0,0.0,"1,060 sq. ft.",Partly Furnished,"RM 2,200",2025-07-30,4.0
KV100513,Kajang,Condominium,2.0,2.0,2.0,970 sq. ft.,Fully Furnished,"RM 1,900",30/05/2026,3.7
KV100473,Cyberjaya,Terrace House,4.0,3.0,2.0,"1,950 sq. ft.",Partially Furnished,"-RM 1,200",2026-02-03,5.0
KV101012,Cheras,Serviced Residence,2.0,2.0,1.0,"1,230 sq. ft.",Partially Furnished,"RM 2,850",2025-07-18,4.3
KV100704,Shah Alam,Terrace House,3.0,2.0,2.0,"1,980 sq. ft.",partially furnished,"RM 3,350",2026-04-02,3.3
KV100140,Petaling Jaya,Serviced Residence,2.0,1.0,0.0,,,"RM 3,300",2026-07-22,4.8
KV100906,KLCC,Apartment,3.0,2.0,2.0,"1,130 sq. ft.",Fully Furnished,"RM 4,950",28/05/2025,4.8
KV101033,Petaling Jaya,Apartment,4.0,3.0,1.0,750 sq. ft.,Fully Furnished,"RM 2,000",2026-06-06,4.0
KV100799,Bangsar  ,Condominium,2.0,1.0,0.0,640 sq. ft.,Not Furnished,"RM 2,300",2026-03-19,3.8
KV100568,Subang Jaya,Condominium,3.0,,2.0,"1,250 sq. ft.",Fully Furnished,"RM 3,800",2026-07-19,2.7
KV101134,Petaling Jaya,Apartment,2.0,1.0,1.0,,Fully Furnished,"RM 1,850",09/01/2026,4.8
KV100703,Puchong,Condominium,4.0,4.0,2.0,"1,150 sq. ft.",Partially Furnished,"RM 2,700",2026-05-09,3.9
KV100414,cyberjaya,Serviced Residence,3.0,2.0,0.0,970 sq. ft.,Partly Furnished,"RM 2,000",23/03/2025,4.1
KV101065,  Subang Jaya ,Terrace House,4.0,4.0,3.0,"2,400 sq. ft.",Fully Furnished,"RM 4,500",24/09/2025,4.1
KV100164,Ampang,Terrace House,3.0,2.0,2.0,"1,900 sq. ft.",Partially Furnished,"RM 4,300",2025-08-24,3.5
KV100379,  Cheras ,Apartment,3.0,2.0,,"1,020 sq. ft.",Partly Furnished,"RM 2,050",2025-03-13,4.6
KV100108,Cheras,Condominium,3.0,2.0,2.0,"1,190 sq. ft.",,"RM 3,200",10/08/2025,4.6
KV100685,Shah Alam,Serviced Residence,2.0,1.0,1.0,890 sq. ft.,Not Furnished,"RM 2,000",2026-03-11,4.5
KV100788,Puchong,Terrace House,3.0,2.0,2.0,"1,370 sq. ft.",Fully Furnished,"RM 2,450",2026-07-02,3.4
KV101020,Petaling Jaya,Serviced Residence,2.0,1.0,0.0,"1,320 sq. ft.",Partially Furnished,"RM 3,350",19/06/2026,4.7
KV100099,Ampang,Apartment,4.0,3.0,,"1,050 sq. ft.",Partially Furnished,"RM 2,200",19/09/2025,3.8
KV100534,Setapak,Apartment,3.0,,0.0,670 sq. ft.,Fully Furnished,"RM 1,200",15/06/2026,3.9
KV100264,Bangsar,Serviced Residence,4.0,3.0,2.0,"1,040 sq. ft.",Fully Furnished,"RM 5,100",17/02/2026,3.9
KV100509,Cheras,Terrace House,5.0,5.0,3.0,"1,320 sq. ft.",Fully Furnished,"RM 2,550",2026-01-18,3.4
KV100262,Ampang  ,Studio,1.0,1.0,2.0,520 sq. ft.,Fully Furnished,"RM 1,700",2025-03-24,3.1
KV100253,Mont Kiara,Terrace House,5.0,4.0,3.0,"1,780 sq. ft.",Fully Furnished,"RM 6,850",2026-07-28,4.8
KV100220,setapak,Terrace House,3.0,2.0,0.0,,Partially Furnished,"RM 2,450",2025-04-25,3.9
KV100663,Ampang,Apartment,3.0,,,790 sq. ft.,Fully Furnished,"RM 2,450",06/03/2026,4.1
KV101118,Shah Alam  ,Condominium,,2.0,2.0,"1,150 sq. ft.",Partially Furnished,"RM 2,500",2025-03-18,3.4
KV100216,Setapak,Condominium,3.0,3.0,,950 sq. ft.,Not Furnished,"RM 1,350",11/05/2025,4.8
KV101057,Mont Kiara,Condominium,2.0,2.0,,"1,500 sq. ft.",Partially Furnished,"RM 6,300",2026-08-24,
